,customer_id,annual_income,vehicle_make,vehicle_model,vehicle_year,loan_amount,initial_apr,current_apr,loan_term_months,autopay_enrolled,num_successful_payments,credit_score,loan_start_date,loan_end_date,loan_status,target
23972,CUST00023973,46620.14,Chevrolet,Tahoe,2025,18920.39,16.54,18.21,36,False,25,364,2022-02-16,2025-01-31,Paid Off,0
23975,CUST00023976,108363.59,Chevrolet,Trailblazer,2025,66893.28,6.24,7.84,36,False,33,704,2021-11-12,2024-10-27,Paid Off,0
23976,CUST00023977,60497.6,Chevrolet,Impala,2022,63006.7,4.16,6.95,36,False,35,737,2022-06-06,2025-05-21,Paid Off,0
23980,CUST00023981,33162.11,Chevrolet,Camaro,2023,11826.53,15.87,15.77,36,False,13,503,2022-01-12,2024-12-27,Paid Off,0
24003,CUST00024004,97696.98,Chevrolet,Camaro,2024,28263.4,15.87,16.64,24,True,10,504,2021-11-26,2023-11-16,Paid Off,0
24023,CUST00024024,85118.38,Cadillac,Escalade ESV,2025,58502.27,3.62,4.11,36,True,32,833,2023-12-30,2026-12-14,Paid Off,0
24028,CUST00024029,98866.23,GMC,Canyon,2023,83607.39,13.2,12.27,48,True,41,613,2021-11-10,2025-10-20,Paid Off,0
24033,CUST00024034,34429.3,Chevrolet,Equinox,2025,14566.34,18.06,20.66,36,True,19,405,2025-04-20,2028-04-04,Default,1
24048,CUST00024049,41729.68,Buick,Encore GX,2024,22891.91,16.19,17.21,24,True,8,433,2023-12-07,2025-11-26,Default,1
24050,CUST00024051,92203.17,GMC,Terrain,2025,55692.62,18.16,20.68,72,True,15,581,2024-02-03,2030-01-02,Paid Off,0
24054,CUST00024055,52978.4,Chevrolet,Blazer,2022,19495.23,12.31,14.24,36,False,29,635,2021-11-06,2024-10-21,Paid Off,0
24058,CUST00024059,43505.16,Chevrolet,Corvette,2024,32465.64,13.87,16.48,24,False,14,635,2022-05-23,2024-05-12,Paid Off,0
24062,CUST00024063,79378.34,GMC,Sierra 2500HD,2023,74679.09,7.47,8.11,72,True,47,709,2023-08-28,2029-07-27,Paid Off,0
24071,CUST00024072,93736.23,Cadillac,Escalade ESV,2024,63607.5,4.67,5.56,36,True,31,748,2022-02-20,2025-02-04,Paid Off,0
24073,CUST00024074,107322.65,GMC,Hummer EV,2022,77700.38,2.62,3.22,84,False,44,780,2023-10-29,2030-09-22,Paid Off,0
24075,CUST00024076,117187.95,Cadillac,XT6,2024,71117.91,4.23,5.37,36,False,29,765,2021-12-17,2024-12-01,Paid Off,0
24095,CUST00024096,61256.19,GMC,Yukon XL,2022,33820.28,16.78,17.2,48,True,26,451,2022-09-30,2026-09-09,Paid Off,0
24097,CUST00024098,118215.95,Cadillac,Escalade ESV,2022,54311.61,12.17,15.03,24,False,18,606,2023-09-24,2025-09-13,Paid Off,0
24098,CUST00024099,94838.45,Cadillac,CT4,2024,31631.79,17.3,17.35,24,False,12,517,2022-11-30,2024-11-19,Paid Off,0
24101,CUST00024102,61424.2,Buick,Regal,2024,71133.69,6.4,9.1,60,False,43,723,2022-09-20,2027-08-25,Default,1
24107,CUST00024108,70533.6,Chevrolet,Trax,2023,32747.63,14.24,16.04,24,True,19,635,2021-12-26,2023-12-16,Paid Off,0
24109,CUST00024110,104493.77,GMC,Sierra 1500,2025,74392.45,5.55,6.46,72,True,43,733,2025-06-13,2031-05-13,Default,1
24119,CUST00024120,28896.36,Chevrolet,Camaro,2022,20729.4,10.76,12.67,72,True,30,607,2024-07-31,2030-06-30,Paid Off,0
24126,CUST00024127,34059.39,Chevrolet,Silverado 1500,2024,17537.18,17.38,20.13,72,False,15,504,2022-05-27,2028-04-25,Default,1
24134,CUST00024135,40862.44,Chevrolet,Suburban,2025,23455.16,17.79,18.33,72,False,21,463,2023-04-05,2029-03-04,Paid Off,0
24138,CUST00024139,87795.68,Chevrolet,Suburban,2024,84257.88,4.02,6.74,36,True,32,802,2022-01-16,2024-12-31,Paid Off,0
24152,CUST00024153,86953.98,GMC,Yukon XL,2024,80923.14,4.42,5.94,72,True,46,849,2023-05-25,2029-04-23,Paid Off,0
24154,CUST00024155,56917.53,GMC,Yukon XL,2025,21720.9,18.09,20.35,36,True,18,592,2022-04-25,2025-04-09,Paid Off,0
24168,CUST00024169,36378.11,Chevrolet,Malibu,2023,19588.98,18.24,17.55,36,True,16,377,2022-03-05,2025-02-17,Paid Off,0
24172,CUST00024173,26027.7,Chevrolet,Corvette,2023,7986.59,16.65,18.97,24,False,13,413,2022-09-20,2024-09-09,Paid Off,0
24181,CUST00024182,44206.05,Chevrolet,Equinox,2023,9969.55,18.38,19.69,60,False,28,451,2024-05-15,2029-04-19,Paid Off,0
24185,CUST00024186,53468.04,GMC,Canyon,2022,19532.81,8.12,10.24,84,True,38,679,2022-09-26,2029-08-20,Paid Off,0
24187,CUST00024188,115029.28,Cadillac,CT5,2025,67801.16,11.71,12.15,48,False,34,623,2022-03-02,2026-02-09,Paid Off,0
24189,CUST00024190,57893.89,Chevrolet,Colorado,2025,30741.65,14.93,16.46,48,True,18,565,2025-03-12,2029-02-19,Paid Off,0
24190,CUST00024191,118231.26,Cadillac,Celestiq,2024,66109.21,2.91,2.46,84,True,39,823,2022-10-20,2029-09-13,Default,1
24191,CUST00024192,76510.41,GMC,Sierra 1500,2025,34858.99,14.38,13.64,72,False,26,511,2023-10-29,2029-09-27,Paid Off,0
24192,CUST00024193,117495.21,Cadillac,CT5,2025,74806.4,17.15,16.28,84,False,18,554,2022-11-08,2029-10-02,Paid Off,0
24202,CUST00024203,80039.09,Cadillac,Celestiq,2025,44315.04,14.74,15.05,24,True,16,626,2022-02-06,2024-01-27,Paid Off,0
24217,CUST00024218,92161.35,GMC,Sierra 1500,2022,50530.95,5.68,5.44,36,True,32,720,2022-10-10,2025-09-24,Paid Off,0
24221,CUST00024222,48200.93,Chevrolet,Suburban,2022,27193.72,18.32,21.02,24,False,15,420,2023-11-08,2025-10-28,Paid Off,0
24228,CUST00024229,116970.21,Cadillac,CT5,2023,62631.19,15.06,17.4,48,True,29,541,2021-11-20,2025-10-30,Paid Off,0
24229,CUST00024230,74828.19,GMC,Terrain,2024,44289.43,5.19,5.71,36,False,30,732,2022-03-03,2025-02-15,Paid Off,0
24230,CUST00024231,112586.88,Cadillac,CT5,2023,62609.02,3.73,5.53,48,True,44,765,2024-11-05,2028-10-15,Default,1
24235,CUST00024236,30336.18,Chevrolet,Traverse,2024,16267.23,15.4,16.89,24,True,12,313,2023-05-28,2025-05-17,Paid Off,0
24236,CUST00024237,45429.12,Buick,Enclave,2023,22559.13,14.76,14.8,24,False,14,579,2022-07-07,2024-06-26,Paid Off,0
24237,CUST00024238,35982.4,Chevrolet,Bolt EV,2022,10985.74,17.06,17.65,84,False,23,425,2025-04-27,2032-03-21,Default,1
24244,CUST00024245,39476.17,Buick,Encore,2022,11171.56,15.98,17.57,24,True,12,329,2022-04-02,2024-03-22,Paid Off,0
24256,CUST00024257,52967.22,Chevrolet,Malibu,2023,25740.46,14.6,15.37,72,False,15,453,2023-11-14,2029-10-13,Default,1
24263,CUST00024264,89838.55,GMC,Sierra 2500HD,2024,33099.69,13.59,16.14,36,True,23,604,2022-09-12,2025-08-27,Paid Off,0
24267,CUST00024268,95396.52,Cadillac,CT5,2024,32187.88,18.18,19.39,24,False,13,515,2023-11-05,2025-10-25,Paid Off,0
24275,CUST00024276,65545.44,GMC,Sierra 2500HD,2024,23639.63,16.0,16.99,48,False,15,549,2022-07-29,2026-07-08,Paid Off,0
24278,CUST00024279,26600.69,Chevrolet,Malibu,2023,15710.37,18.82,20.8,24,False,12,324,2022-09-03,2024-08-23,Paid Off,0
24284,CUST00024285,38442.72,Chevrolet,Camaro,2025,14650.92,16.81,17.21,48,False,21,307,2021-11-12,2025-10-22,Paid Off,0
24291,CUST00024292,36445.49,Chevrolet,Tahoe,2025,11589.48,16.82,15.83,84,False,31,520,2023-07-30,2030-06-23,Paid Off,0
24293,CUST00024294,33949.13,Chevrolet,Silverado 2500HD,2022,11512.21,15.71,14.93,36,True,11,564,2022-09-07,2025-08-22,Paid Off,0
24300,CUST00024301,44178.21,Chevrolet,Camaro,2023,15049.97,13.03,15.49,24,True,16,646,2022-01-30,2024-01-20,Paid Off,0
24310,CUST00024311,57397.03,Chevrolet,Camaro,2023,45484.73,15.0,14.21,72,False,42,616,2023-12-24,2029-11-22,Default,1
24316,CUST00024317,57155.57,GMC,Canyon,2023,21086.61,15.3,16.88,48,True,22,548,2021-12-16,2025-11-25,Paid Off,0
24319,CUST00024320,70764.2,GMC,Hummer EV,2025,40548.79,17.23,18.25,24,True,11,465,2025-03-30,2027-03-20,Paid Off,0
24322,CUST00024323,85839.48,Chevrolet,Corvette,2025,73296.37,4.69,5.87,36,False,34,730,2022-09-19,2025-09-03,Paid Off,0
24326,CUST00024327,69193.39,GMC,Acadia,2023,34019.37,15.49,15.76,24,False,9,474,2022-08-20,2024-08-09,Paid Off,0
24331,CUST00024332,103050.35,GMC,Acadia,2022,36548.07,14.74,15.38,48,True,32,535,2024-05-27,2028-05-06,Default,1
24334,CUST00024335,84082.13,GMC,Terrain,2023,66334.08,13.38,15.77,72,False,42,601,2025-05-31,2031-04-30,Paid Off,0
24349,CUST00024350,67073.35,GMC,Sierra 1500,2025,22433.12,14.18,16.41,36,True,20,560,2022-07-06,2025-06-20,Paid Off,0
24351,CUST00024352,101076.56,Cadillac,XT6,2023,67482.58,14.26,15.08,84,True,39,635,2025-03-19,2032-02-11,Default,1
24353,CUST00024354,101032.68,Cadillac,XT5,2023,66192.18,3.22,3.04,36,True,30,772,2021-12-05,2024-11-19,Paid Off,0
24355,CUST00024356,100999.57,Cadillac,Escalade,2025,61065.66,18.4,17.71,36,False,21,506,2022-09-01,2025-08-16,Paid Off,0
24375,CUST00024376,110662.35,Cadillac,CT4,2024,63972.46,5.41,6.48,24,False,19,704,2023-08-29,2025-08-18,Paid Off,0
24377,CUST00024378,25029.89,Chevrolet,Silverado 2500HD,2025,9258.04,15.97,18.94,24,False,10,363,2022-07-11,2024-06-30,Paid Off,0
24383,CUST00024384,35307.8,Buick,Encore,2025,14919.04,16.83,19.74,72,False,31,422,2024-12-19,2030-11-18,Default,1
24389,CUST00024390,81576.29,Cadillac,XT5,2025,36008.76,11.77,11.11,36,False,23,622,2022-03-05,2025-02-17,Paid Off,0
24404,CUST00024405,63498.88,GMC,Acadia,2024,81148.28,6.28,5.59,24,False,23,739,2023-07-26,2025-07-15,Paid Off,0
24420,CUST00024421,42903.41,Chevrolet,Blazer,2024,9697.58,17.95,20.65,60,False,30,418,2023-10-02,2028-09-05,Default,1
24430,CUST00024431,81493.58,Cadillac,Celestiq,2024,63425.65,5.4,7.39,24,True,19,716,2022-05-12,2024-05-01,Paid Off,0
24432,CUST00024433,108413.97,Cadillac,Escalade,2022,49919.42,15.07,14.36,48,False,19,505,2022-06-29,2026-06-08,Default,1
24433,CUST00024434,111218.93,Chevrolet,Corvette,2025,70313.77,8.39,8.91,36,True,31,662,2022-07-01,2025-06-15,Paid Off,0
24434,CUST00024435,102152.51,Cadillac,XT5,2022,48227.62,18.67,19.43,36,True,16,542,2022-04-26,2025-04-10,Paid Off,0
24446,CUST00024447,92891.51,Cadillac,CT5,2022,64952.6,10.08,11.08,60,False,38,619,2025-07-01,2030-06-05,Default,1
24456,CUST00024457,78436.75,Chevrolet,Impala,2025,23981.97,14.7,17.1,36,True,10,467,2022-05-31,2025-05-15,Paid Off,0
24457,CUST00024458,116275.81,Cadillac,XT5,2023,27762.45,14.96,15.15,48,False,27,569,2024-05-17,2028-04-26,Default,1
24464,CUST00024465,80575.18,Cadillac,Celestiq,2025,75975.23,3.58,3.27,24,True,20,836,2023-02-25,2025-02-14,Paid Off,0
24465,CUST00024466,77230.8,Chevrolet,Trax,2022,83103.57,7.15,7.91,36,True,30,731,2024-11-01,2027-10-17,Default,1
24467,CUST00024468,54200.31,Buick,Regal,2025,31790.97,15.25,16.41,48,False,18,516,2025-06-18,2029-05-28,Default,1
24468,CUST00024469,53037.5,GMC,Canyon,2025,20845.24,17.47,17.18,24,True,13,584,2022-01-27,2024-01-17,Paid Off,0
24476,CUST00024477,96549.97,Cadillac,Celestiq,2025,74757.21,5.08,5.36,60,True,41,732,2023-06-22,2028-05-26,Paid Off,0
24483,CUST00024484,52421.67,Chevrolet,Silverado 3500HD,2025,12006.98,17.58,17.94,24,False,8,580,2023-04-28,2025-04-17,Paid Off,0
24485,CUST00024486,69806.39,Buick,Envision,2025,40164.06,17.89,20.73,36,False,15,461,2025-07-19,2028-07-03,Paid Off,0
24489,CUST00024490,50790.28,Buick,Encore GX,2025,25587.01,11.0,12.74,60,True,30,637,2024-04-13,2029-03-18,Default,1
24494,CUST00024495,76553.66,Chevrolet,Corvette,2023,51721.56,5.47,6.42,60,False,39,732,2025-01-28,2030-01-02,Paid Off,0
24495,CUST00024496,107187.42,GMC,Yukon XL,2023,67555.45,8.39,11.21,60,False,32,681,2024-07-02,2029-06-06,Default,1
24496,CUST00024497,100902.87,Cadillac,XT6,2022,86662.28,2.64,5.43,36,True,34,757,2022-11-12,2025-10-27,Paid Off,0
24503,CUST00024504,71618.42,Chevrolet,Trax,2025,21681.89,14.79,15.52,60,True,17,496,2023-09-11,2028-08-15,Default,1
24505,CUST00024506,80975.18,Cadillac,Lyriq,2022,20201.97,18.22,18.47,36,False,24,569,2022-08-23,2025-08-07,Paid Off,0
24519,CUST00024520,79049.67,Chevrolet,Camaro,2023,16986.35,15.71,16.61,48,True,25,529,2022-10-18,2026-09-27,Paid Off,0
24523,CUST00024524,46290.44,Chevrolet,Suburban,2024,9829.25,15.41,14.94,72,False,23,302,2024-06-08,2030-05-08,Default,1
24531,CUST00024532,79619.35,Buick,Regal,2023,78683.58,11.14,11.42,84,True,39,694,2024-10-18,2031-09-12,Default,1
24536,CUST00024537,71622.3,Buick,Encore,2023,30578.99,13.84,14.01,48,False,34,640,2022-11-19,2026-10-29,Paid Off,0
24537,CUST00024538,111864.52,GMC,Yukon,2024,70469.87,4.83,7.19,72,True,43,828,2024-07-05,2030-06-04,Paid Off,0
24570,CUST00024571,103945.81,Cadillac,CT4,2022,66348.63,2.86,2.84,24,True,20,808,2023-03-11,2025-02-28,Paid Off,0
24575,CUST00024576,106036.25,Cadillac,Escalade,2023,59223.63,15.82,15.84,24,False,8,511,2023-11-05,2025-10-25,Paid Off,0
24596,CUST00024597,85724.94,Cadillac,Lyriq,2024,45907.03,12.01,14.18,36,True,28,614,2022-11-06,2025-10-21,Paid Off,0
24600,CUST00024601,115488.39,Cadillac,XT4,2022,73351.89,3.42,3.8,84,True,39,803,2024-04-12,2031-03-07,Paid Off,0
24603,CUST00024604,106487.47,GMC,Sierra 3500HD,2024,50070.92,4.55,6.41,24,True,20,714,2023-09-19,2025-09-08,Paid Off,0
24604,CUST00024605,91783.38,Cadillac,CT5,2024,84276.61,7.19,9.29,24,True,22,743,2022-09-15,2024-09-04,Paid Off,0
24612,CUST00024613,57435.55,GMC,Yukon,2022,17835.24,15.33,15.53,24,True,14,554,2023-09-12,2025-09-01,Paid Off,0
24618,CUST00024619,118305.32,Cadillac,CT4,2025,51689.83,16.57,19.1,24,False,12,525,2023-07-10,2025-06-29,Paid Off,0
24623,CUST00024624,103105.72,GMC,Yukon XL,2025,35706.41,14.19,16.17,60,False,39,606,2024-12-10,2029-11-14,Default,1
24628,CUST00024629,34221.88,Chevrolet,Trax,2022,12335.56,18.46,17.47,24,False,11,465,2023-10-22,2025-10-11,Paid Off,0
24630,CUST00024631,112956.89,Chevrolet,Equinox,2025,82755.51,12.94,13.45,24,True,19,638,2023-05-27,2025-05-16,Paid Off,0
24637,CUST00024638,116918.41,Cadillac,XT4,2022,83476.9,6.08,8.94,36,True,28,702,2023-01-08,2025-12-23,Default,1
24643,CUST00024644,82145.13,GMC,Acadia,2023,54976.69,8.76,9.23,36,False,25,650,2024-10-24,2027-10-09,Paid Off,0
24647,CUST00024648,31351.16,Chevrolet,Malibu,2025,17501.32,14.43,14.49,24,False,9,488,2023-08-03,2025-07-23,Paid Off,0
24660,CUST00024661,90274.71,Cadillac,XT5,2022,33945.63,10.2,11.47,24,False,20,616,2022-12-21,2024-12-10,Paid Off,0
24674,CUST00024675,93134.26,Cadillac,Escalade,2024,51348.75,4.88,6.52,24,True,22,724,2023-04-24,2025-04-13,Paid Off,0
24680,CUST00024681,103772.97,Cadillac,Escalade ESV,2023,52738.74,14.98,14.65,24,True,16,633,2024-06-10,2026-05-31,Default,1
24685,CUST00024686,118538.9,Chevrolet,Malibu,2024,25017.18,18.42,19.23,24,False,13,507,2023-06-19,2025-06-08,Paid Off,0
24703,CUST00024704,98215.63,GMC,Acadia,2022,60387.28,4.52,6.94,36,True,33,750,2022-10-20,2025-10-04,Paid Off,0
24709,CUST00024710,67861.59,Chevrolet,Camaro,2024,30702.36,15.75,15.54,36,True,15,524,2021-11-21,2024-11-05,Paid Off,0
24711,CUST00024712,58665.22,Chevrolet,Traverse,2022,12254.48,16.72,16.01,24,True,14,599,2022-08-25,2024-08-14,Paid Off,0
24712,CUST00024713,102194.32,GMC,Terrain,2023,74172.88,3.48,4.28,24,False,20,819,2024-07-29,2026-07-19,Default,1
24718,CUST00024719,87083.44,Chevrolet,Trailblazer,2025,37748.04,12.09,14.32,36,False,27,608,2022-11-02,2025-10-17,Paid Off,0
24728,CUST00024729,57363.54,GMC,Hummer EV,2025,27057.27,14.6,14.23,36,False,19,503,2023-08-31,2026-08-15,Paid Off,0
24734,CUST00024735,72674.91,Chevrolet,Tahoe,2025,20657.1,12.23,13.08,24,True,20,622,2023-06-11,2025-05-31,Paid Off,0
24736,CUST00024737,114236.04,GMC,Sierra 2500HD,2023,29567.78,14.86,16.76,36,True,11,584,2024-09-10,2027-08-26,Default,1
24741,CUST00024742,104153.98,Cadillac,Escalade,2025,57667.17,14.6,14.99,24,True,19,626,2022-12-12,2024-12-01,Paid Off,0
24761,CUST00024762,95382.5,GMC,Sierra 1500,2023,29225.32,13.83,16.39,84,True,43,605,2022-03-12,2029-02-03,Default,1
24766,CUST00024767,25671.52,Chevrolet,Silverado 2500HD,2024,13187.33,14.26,16.34,60,True,15,455,2023-05-23,2028-04-26,Default,1
24769,CUST00024770,100498.54,Cadillac,XT5,2023,43804.95,16.78,19.27,24,False,9,578,2023-08-18,2025-08-07,Paid Off,0
24771,CUST00024772,26112.21,Buick,Encore,2024,10833.02,15.35,17.27,60,False,25,444,2023-06-09,2028-05-13,Default,1
24773,CUST00024774,33602.21,Chevrolet,Silverado 2500HD,2025,14252.05,17.97,18.81,48,True,15,547,2021-11-12,2025-10-22,Paid Off,0
24775,CUST00024776,99295.38,Cadillac,XT4,2023,39510.0,14.94,14.05,60,False,36,611,2024-05-21,2029-04-25,Default,1
24780,CUST00024781,48105.38,Chevrolet,Equinox,2025,33180.59,11.57,11.67,84,True,36,632,2025-04-23,2032-03-17,Default,1
24787,CUST00024788,37307.35,Buick,Regal,2025,14937.77,16.95,19.88,24,False,11,335,2023-09-22,2025-09-11,Paid Off,0
24793,CUST00024794,78843.1,GMC,Yukon XL,2023,53745.57,6.54,7.25,60,True,30,687,2021-12-14,2026-11-18,Default,1
24795,CUST00024796,30841.02,Chevrolet,Malibu,2022,16167.18,17.95,18.75,72,True,23,365,2023-06-08,2029-05-07,Paid Off,0
24809,CUST00024810,25939.15,Chevrolet,Corvette,2023,12457.99,18.28,17.29,60,True,21,427,2025-04-11,2030-03-16,Paid Off,0
24815,CUST00024816,40700.74,Chevrolet,Silverado 2500HD,2024,16851.38,15.4,17.08,24,True,14,406,2022-08-06,2024-07-26,Paid Off,0
24826,CUST00024827,92668.63,Cadillac,CT5,2025,86725.03,3.64,3.98,36,True,29,809,2023-05-05,2026-04-19,Default,1
24832,CUST00024833,104532.54,GMC,Canyon,2024,63603.64,4.05,6.48,84,True,42,767,2023-07-28,2030-06-21,Default,1
24833,CUST00024834,96237.44,Cadillac,Escalade,2022,88212.86,4.7,7.42,24,True,21,824,2023-02-14,2025-02-03,Paid Off,0
24836,CUST00024837,41209.51,Chevrolet,Tahoe,2022,20399.13,16.09,15.33,24,False,7,407,2023-09-05,2025-08-25,Paid Off,0
24840,CUST00024841,91346.43,Cadillac,CT4,2025,55847.3,16.93,18.33,36,True,12,588,2022-01-08,2024-12-23,Paid Off,0
24844,CUST00024845,107308.58,Chevrolet,Impala,2023,45296.31,13.02,13.8,24,True,17,600,2025-04-07,2027-03-28,Paid Off,0
24861,CUST00024862,65897.43,Chevrolet,Malibu,2023,22933.73,14.87,16.28,24,True,17,641,2023-01-29,2025-01-18,Paid Off,0
24863,CUST00024864,87252.38,Cadillac,XT6,2023,75347.03,6.87,9.8,24,True,19,704,2022-05-03,2024-04-22,Paid Off,0
24871,CUST00024872,110151.61,GMC,Acadia,2024,70463.29,4.38,5.71,24,True,19,753,2023-09-02,2025-08-22,Paid Off,0
24872,CUST00024873,42190.0,Chevrolet,Corvette,2023,12979.27,14.23,13.38,24,True,12,492,2022-01-26,2024-01-16,Paid Off,0
24883,CUST00024884,84069.99,Cadillac,XT4,2022,79484.51,6.93,9.07,24,True,17,681,2023-08-28,2025-08-17,Paid Off,0
24884,CUST00024885,79413.77,GMC,Sierra 3500HD,2023,40574.7,14.11,13.57,36,True,20,418,2022-11-15,2025-10-30,Paid Off,0
24888,CUST00024889,71614.19,Chevrolet,Silverado 1500,2022,37528.63,14.85,15.98,48,False,19,408,2025-06-08,2029-05-18,Default,1
24894,CUST00024895,61171.16,Chevrolet,Trax,2023,19838.85,11.47,11.09,24,True,16,622,2022-01-17,2024-01-07,Paid Off,0
24900,CUST00024901,49964.17,Chevrolet,Impala,2024,24132.86,18.07,19.07,84,False,32,535,2023-09-13,2030-08-07,Paid Off,0
24909,CUST00024910,111650.31,Cadillac,CT4,2024,38829.84,10.92,11.06,24,False,20,612,2022-12-23,2024-12-12,Paid Off,0
24916,CUST00024917,26400.63,Chevrolet,Corvette,2024,8675.37,17.66,18.07,24,True,13,547,2022-07-30,2024-07-19,Paid Off,0
24917,CUST00024918,96456.99,GMC,Hummer EV,2023,88033.16,10.48,12.51,60,False,37,663,2025-10-18,2030-09-22,Paid Off,0
24928,CUST00024929,87255.66,GMC,Sierra 1500,2024,27092.32,15.61,17.05,60,True,24,544,2024-12-05,2029-11-09,Paid Off,0
24936,CUST00024937,55114.75,GMC,Sierra 1500,2022,24119.39,16.79,19.32,24,True,9,555,2021-12-27,2023-12-17,Paid Off,0
24942,CUST00024943,67050.31,Chevrolet,Suburban,2024,39646.84,14.87,15.5,36,True,19,437,2022-04-20,2025-04-04,Paid Off,0
24947,CUST00024948,25899.46,Buick,Regal,2023,11376.23,14.39,15.87,24,True,7,557,2022-08-15,2024-08-04,Paid Off,0
24959,CUST00024960,26576.11,Buick,Regal,2025,9805.45,15.61,14.94,24,False,7,583,2023-02-13,2025-02-02,Paid Off,0
24964,CUST00024965,36638.17,Buick,Encore,2025,9578.15,16.16,17.09,60,True,15,492,2022-02-01,2027-01-06,Default,1
24977,CUST00024978,95054.69,Cadillac,CT4,2024,45454.13,16.81,19.74,24,True,8,515,2023-01-07,2024-12-27,Paid Off,0
24986,CUST00024987,74932.14,GMC,Canyon,2023,56861.28,8.56,10.22,84,False,42,655,2022-04-28,2029-03-22,Default,1
25003,CUST00025004,109919.25,Cadillac,XT5,2022,44983.58,14.71,15.05,24,False,14,552,2023-07-17,2025-07-06,Paid Off,0
25004,CUST00025005,103720.44,Cadillac,XT4,2022,27678.05,18.87,21.32,36,False,15,525,2022-03-07,2025-02-19,Paid Off,0
25006,CUST00025007,59411.55,GMC,Sierra 3500HD,2023,32534.1,16.07,18.22,36,False,18,413,2022-10-24,2025-10-08,Paid Off,0
25007,CUST00025008,73969.59,Chevrolet,Trax,2023,23537.96,14.23,14.48,36,False,16,599,2023-03-12,2026-02-24,Default,1
25011,CUST00025012,91529.7,Cadillac,XT6,2025,53631.47,11.73,11.47,36,True,27,662,2024-05-06,2027-04-21,Default,1
25018,CUST00025019,61811.6,Buick,Regal,2023,35754.02,13.0,13.17,48,True,39,636,2021-11-06,2025-10-16,Paid Off,0
25022,CUST00025023,31629.74,Chevrolet,Traverse,2023,18941.58,15.95,18.42,24,True,7,424,2023-07-14,2025-07-03,Paid Off,0
25025,CUST00025026,100404.76,Cadillac,XT6,2024,53522.81,16.11,15.13,72,True,20,567,2025-08-17,2031-07-17,Paid Off,0
25036,CUST00025037,88331.03,GMC,Sierra 1500,2025,44702.19,16.6,17.07,24,False,12,575,2022-09-26,2024-09-15,Paid Off,0
25048,CUST00025049,67968.83,GMC,Acadia,2023,29782.85,14.17,14.75,72,False,19,408,2024-04-07,2030-03-07,Default,1
25056,CUST00025057,106685.38,Cadillac,CT4,2023,46108.98,16.62,19.04,36,True,22,584,2022-06-24,2025-06-08,Paid Off,0
25062,CUST00025063,68921.67,Buick,Encore GX,2024,57282.54,4.36,3.64,36,True,34,720,2025-11-04,2028-10-19,Default,1
25064,CUST00025065,65337.36,GMC,Canyon,2023,32442.4,17.42,17.67,24,True,10,458,2022-02-25,2024-02-15,Paid Off,0
25072,CUST00025073,87840.27,GMC,Sierra 3500HD,2024,48556.53,8.57,8.39,24,True,18,692,2022-05-03,2024-04-22,Paid Off,0
25083,CUST00025084,110173.43,Chevrolet,Corvette,2025,79749.94,4.58,7.4,36,False,30,806,2022-06-17,2025-06-01,Paid Off,0
25092,CUST00025093,56211.8,GMC,Hummer EV,2023,14286.47,16.92,16.38,24,False,13,560,2022-11-24,2024-11-13,Paid Off,0
25110,CUST00025111,84277.66,GMC,Hummer EV,2022,88185.67,7.42,9.7,24,True,22,728,2022-08-23,2024-08-12,Paid Off,0
25113,CUST00025114,84187.01,Cadillac,CT5,2023,50816.67,7.02,9.58,48,True,41,718,2023-11-04,2027-10-14,Default,1
25114,CUST00025115,106969.3,Cadillac,XT4,2022,62364.85,2.55,2.56,36,False,29,819,2021-11-15,2024-10-30,Paid Off,0
25121,CUST00025122,78901.8,Buick,Encore GX,2025,63092.28,12.22,14.18,24,True,19,642,2023-06-26,2025-06-15,Paid Off,0
25122,CUST00025123,56268.47,Chevrolet,Silverado 2500HD,2023,13200.72,15.62,15.93,48,True,19,566,2021-11-08,2025-10-18,Paid Off,0
25124,CUST00025125,44683.86,Buick,Encore,2025,23768.7,18.76,20.63,24,True,12,469,2023-06-07,2025-05-27,Paid Off,0
25127,CUST00025128,40698.95,Chevrolet,Silverado 1500,2023,12219.87,17.59,18.43,24,True,8,494,2022-06-25,2024-06-14,Paid Off,0
25132,CUST00025133,42754.23,Buick,Regal,2024,16016.19,14.43,14.52,36,True,23,542,2025-05-06,2028-04-20,Paid Off,0
25134,CUST00025135,103736.54,GMC,Yukon,2024,68271.78,4.83,6.0,24,False,19,836,2023-07-03,2025-06-22,Paid Off,0
25154,CUST00025155,68357.14,Buick,Enclave,2024,27114.38,17.26,16.31,24,False,9,525,2022-12-01,2024-11-20,Paid Off,0
25169,CUST00025170,58865.25,Chevrolet,Trailblazer,2025,12173.19,17.89,20.05,36,True,19,552,2023-07-23,2026-07-07,Default,1
25174,CUST00025175,64527.88,Chevrolet,Impala,2025,21438.91,17.32,18.59,24,True,15,484,2023-10-12,2025-10-01,Paid Off,0
25176,CUST00025177,79134.7,Chevrolet,Suburban,2025,17642.08,16.67,17.32,24,False,14,464,2022-01-10,2023-12-31,Paid Off,0
25178,CUST00025179,31029.54,Chevrolet,Silverado 3500HD,2025,13019.09,17.4,17.09,84,True,31,381,2023-07-28,2030-06-21,Default,1
25181,CUST00025182,89272.75,Chevrolet,Malibu,2023,88607.7,10.94,10.28,24,True,18,657,2022-11-23,2024-11-12,Paid Off,0
