annual_income,loan_amount,loan_term_months,credit_score,target
32812.43,8142.42,84,415,1
58028.02,40785.27,24,693,0
112086.63,34309.14,36,573,0
29736.28,12187.85,72,474,1
43979.19,14222.1,24,361,0
57069.48,11432.24,36,505,0
65799.87,65688.74,72,665,0
98071.53,27269.81,72,581,0
69428.35,34805.53,36,540,0
65703.68,41889.87,48,645,0
102628.96,89484.9,24,765,0
101827.16,74236.45,36,777,0
74672.95,30043.42,72,549,1
29199.13,11998.42,48,531,0
91876.83,52687.25,24,529,0
27879.1,11093.26,24,461,0
112591.43,72021.89,48,700,0
108703.68,24796.4,60,571,1
45959.4,18624.99,72,343,0
102017.6,59720.64,36,834,1
115304.88,50205.53,24,675,0
98871.77,77010.23,60,815,0
39625.6,17498.21,24,331,0
57418.04,31876.3,24,573,0
62111.56,26673.34,36,417,0
78096.92,55353.56,36,657,0
29113.25,12259.05,24,370,0
38902.11,16982.22,36,391,0
28165.68,7438.22,24,324,0
96222.16,53963.41,84,595,0
51107.54,11335.33,24,587,0
88068.04,80655.02,72,753,0
69035.96,37182.63,60,706,1
74911.29,73493.64,72,657,1
82141.16,37883.14,24,522,0
85034.82,51031.0,72,562,0
99156.92,71407.31,60,807,0
59534.21,14100.04,24,557,0
41061.19,21786.47,36,431,0
114271.15,65691.07,84,718,0
46258.93,10205.72,36,482,0
30646.58,9100.51,24,452,0
57896.62,33798.4,24,733,0
42317.71,17722.35,36,366,0
88543.98,85158.39,36,703,0
66492.83,15877.64,24,551,0
38352.15,15501.09,60,374,1
94391.37,51754.36,60,639,1
42092.2,22442.87,24,528,0
35832.59,20178.6,24,381,0
80377.26,26907.67,48,546,0
52483.75,36072.33,36,618,0
72906.64,40566.14,36,444,1
102068.46,30592.34,36,619,0
39404.94,14398.7,36,477,0
56310.03,31780.23,48,614,1
32077.87,18224.48,36,620,0
33655.9,12411.65,48,329,0
103026.72,87963.75,36,662,0
37218.95,8092.04,36,501,0
90390.44,35519.34,36,535,0
56714.46,18670.42,36,411,0
38361.77,13663.34,48,504,1
35254.43,10450.01,84,631,0
112809.73,32285.21,72,517,1
111102.16,74620.69,36,651,0
66121.99,30601.15,84,462,1
51793.19,23935.48,36,612,0
37739.14,18262.97,84,508,1
48024.68,17891.5,36,443,0
57988.99,33827.51,84,615,1
31473.26,7984.2,24,390,0
73681.71,28057.91,24,500,0
89815.94,52751.92,60,690,0
85212.38,70880.4,24,758,0
77713.26,24720.58,36,607,1
35737.36,29090.69,36,630,0
114427.49,64265.84,60,745,1
81368.3,73568.97,24,712,0
32251.99,6610.42,24,420,0
64644.28,24331.12,36,466,1
55139.03,45620.94,24,625,1
55738.14,30844.69,36,555,0
41030.49,21384.82,24,509,0
118883.72,58785.82,24,584,0
30916.06,14740.06,24,546,1
50656.37,38335.62,60,707,1
114517.06,63412.56,84,618,1
97140.18,76199.11,24,768,0
91666.06,52580.51,36,729,0
40016.05,24623.17,24,496,0
60071.68,35752.59,24,653,0
106236.52,44460.49,24,564,1
75935.75,79148.6,24,712,0
109108.66,26714.08,36,510,0
64697.33,34435.67,36,617,0
82901.18,58540.89,36,758,0
77875.9,38964.34,24,421,0
25183.02,8403.72,24,454,0
106757.26,82727.21,60,820,1
111357.58,77220.18,60,722,0
31729.06,12733.02,36,629,0
41958.75,24469.81,24,325,0
108742.09,76903.62,24,638,0
110163.16,58632.63,24,613,0
90475.31,64876.83,24,608,0
40702.59,13202.44,36,359,0
26954.04,12237.86,60,596,0
64862.6,14514.2,72,488,1
27797.05,16681.85,24,518,0
114390.47,51430.78,36,529,0
37731.66,9933.21,24,377,0
117367.81,70270.88,72,808,1
89021.89,53652.82,24,772,1
71584.07,22673.05,24,531,0
29020.19,9427.15,72,517,0
112909.75,36345.27,36,547,0
108380.22,77021.99,72,824,0
78860.85,21327.34,36,598,0
83183.34,50694.39,60,818,1
51491.4,19070.52,24,441,0
90254.56,51861.36,24,631,0
104137.76,89314.88,24,789,1
28591.88,16688.7,60,344,0
79199.25,17030.2,72,491,0
25818.78,9226.19,36,373,0
119222.47,74235.45,72,773,0
89094.96,71270.8,84,761,1
30856.03,17509.62,60,336,0
51735.38,24589.87,24,411,0
63260.34,32147.2,60,673,1
76038.67,49278.51,24,659,1
29019.01,9902.26,48,473,0
44602.04,20924.49,24,554,0
40068.45,13093.79,24,519,0
65711.66,27595.29,24,488,0
68183.14,41237.98,24,722,1
108487.04,82936.6,24,744,0
103586.38,59686.12,36,543,1
45782.27,17456.9,72,491,0
86415.15,89062.74,24,684,0
116531.24,56214.28,60,597,0
41021.55,19108.75,72,432,1
62829.61,27567.28,36,640,1
76939.15,35312.0,60,650,0
38482.28,15858.29,24,462,0
25368.6,9005.03,72,426,1
67668.21,40431.38,24,661,0
28279.57,8068.39,84,587,0
67512.64,74730.99,48,703,0
54262.9,39900.72,24,641,1
89105.72,31625.38,72,671,1
56277.41,26026.06,24,583,0
81885.91,25008.7,36,574,0
87662.52,78275.72,60,829,1
113371.59,23718.37,72,593,1
48387.86,26614.72,60,608,1
71123.87,22346.82,84,627,1
38146.22,10780.78,72,645,0
90049.72,51642.62,72,843,1
39344.35,12282.6,36,517,1
91250.26,54144.09,72,692,1
118128.37,61784.84,72,652,1
36777.44,16889.57,24,569,0
98685.57,69691.39,72,787,0
68351.16,27216.44,36,574,0
70077.44,34460.11,24,650,0
71782.99,35557.79,72,668,1
104242.52,67284.57,72,802,1
113954.77,28831.76,60,591,1
69616.35,21818.49,84,485,0
67609.72,16698.62,36,417,0
58944.58,73859.17,24,750,1
112695.67,76071.17,36,803,0
39908.04,12744.8,24,422,0
74130.86,35257.93,24,555,0
65581.45,31009.07,72,421,1
43071.68,13988.01,36,343,0
90157.98,45410.94,72,743,1
81956.37,62742.52,24,631,0
111914.67,88868.01,36,825,0
59426.18,24443.73,48,569,0
39525.25,17086.41,36,340,0
40325.65,13540.82,36,452,0
110373.87,28064.03,36,557,0
89556.33,46417.19,24,625,0
86793.02,53870.98,36,636,0
34530.23,10639.16,24,423,0
46800.06,23049.75,48,508,0
66550.56,36617.19,24,579,0
59197.53,18523.24,24,518,0
35514.96,10234.3,72,460,0
117156.4,65918.66,24,762,0
119094.28,79035.81,84,787,0
60049.56,64735.97,84,693,0
56834.16,45661.91,60,652,0
25751.27,5327.13,36,588,0
79689.97,45629.55,24,695,0
95413.9,41195.53,24,511,0
36235.3,18678.69,24,413,0
97394.99,31167.67,36,564,0
83255.07,18562.09,24,509,0
55197.62,18885.79,36,571,0
40426.23,13694.87,24,591,0
88161.76,85561.99,84,709,0
34956.53,7250.06,84,518,1
96737.38,85582.42,72,710,0
106223.78,57857.99,24,847,0
49954.6,19267.8,36,359,0
103483.93,43996.42,60,579,1
65250.22,39536.61,72,454,1
86061.14,68903.34,24,680,0
39261.09,8664.13,36,330,0
118862.43,58307.45,48,566,1
82022.74,43659.34,48,526,1
103058.9,40955.47,36,694,0
80060.02,32298.1,48,512,1
47579.62,37107.22,48,613,0
109467.34,42532.84,84,574,1
59386.4,30483.25,36,630,0
35561.44,12998.3,72,636,1
101460.5,55589.56,84,613,1
73651.58,54178.2,24,612,0
118679.74,76917.3,24,750,0
91640.71,76710.79,24,843,0
69737.04,30800.72,36,467,0
106036.36,59558.32,84,681,0
117190.88,82104.49,24,761,0
114506.46,62107.85,24,658,0
67524.45,15763.94,72,427,0
106862.11,52056.09,36,557,0
52403.96,26554.39,84,563,0
68817.47,87874.2,24,740,0
74475.67,24950.32,84,452,0
55077.3,34581.61,84,720,1
80313.46,68213.75,36,664,0
96246.54,22409.37,36,507,0
59690.53,14102.26,48,471,1
116055.49,66410.37,24,581,0
50902.28,29476.98,36,671,0
93487.03,58317.56,36,674,0
77292.87,40070.4,60,705,1
73205.07,23308.9,24,448,0
30599.44,11925.23,36,473,0
54506.16,23156.09,36,606,0
63628.16,39335.19,60,452,0
92538.68,64821.08,24,749,0
92929.29,51501.1,72,588,1
62027.74,19950.12,60,412,1
26559.53,8495.72,84,557,1
54963.77,26225.24,36,558,0
79303.06,45410.11,60,469,1
67983.8,36753.34,24,659,0
80140.55,45608.13,24,797,0
62269.92,20245.75,24,573,0
108100.88,45967.53,24,563,0
117357.03,69686.53,72,592,1
69017.95,45851.56,48,727,1
87198.68,77394.64,24,831,0
40844.5,22228.38,60,315,1
116345.74,54630.47,72,508,0
47792.63,12610.68,24,342,1
106882.83,39470.22,24,586,0
90147.99,61169.51,24,659,0
98294.02,73587.51,48,817,0
101163.24,50545.33,24,691,0
51795.36,22511.33,60,432,1
85875.16,46531.15,36,722,0
44578.7,22067.64,36,594,0
97419.45,67233.22,60,844,0
65047.8,29619.63,48,441,1
49058.61,17191.46,48,638,0
116914.99,45109.79,60,556,0
118347.8,58106.73,36,638,0
39081.96,21043.22,24,645,0
30591.52,15387.62,24,526,0
114851.4,57462.23,24,591,0
115690.82,67239.75,60,552,1
97429.56,65762.76,24,661,0
53365.26,33957.22,72,634,1
56953.74,33619.05,72,513,1
58730.31,12907.09,48,403,1
59834.65,51032.4,36,711,0
51881.45,41905.17,36,721,0
26540.41,6700.08,24,566,0
26699.69,6995.01,36,486,0
58308.64,58740.13,36,673,0
86085.0,68214.08,48,716,0
58216.99,29831.66,24,418,0
58767.67,46823.11,24,699,0
96868.02,54693.57,24,774,0
46862.03,26968.21,24,587,0
84841.13,58215.61,84,812,0
43995.56,23966.96,36,548,0
37949.2,7718.34,36,431,1
112514.15,59004.98,24,687,0
33463.65,19553.68,48,554,1
113530.23,78805.29,24,746,0
102206.73,33841.66,36,626,0
55810.16,20025.61,72,404,1
84225.34,34772.98,24,515,0
56309.53,11749.92,36,407,0
103603.34,68079.29,72,627,1
113082.36,33346.17,24,525,0
73202.86,25969.38,36,434,0
117104.02,76522.09,24,757,0
110394.28,81578.72,84,687,1
64295.2,30632.5,84,735,0
63519.91,35204.49,24,638,0
71954.81,69272.23,60,669,0
108129.83,61323.65,36,764,0
31293.35,17602.92,84,442,1
27699.01,14661.09,24,344,1
117276.08,65513.27,48,817,0
112083.9,35846.33,72,587,1
34946.49,25375.79,24,624,0
27829.56,14918.63,24,559,0
73643.03,34227.66,60,526,1
49726.05,10676.89,72,378,1
42287.89,16516.72,24,535,0
90728.7,40140.2,48,528,1
51837.29,23676.04,24,503,0
98624.13,23586.51,24,578,0
119016.99,75943.11,24,792,0
25381.68,7434.51,24,591,0
80557.23,50974.15,36,649,0
29961.83,9408.64,24,507,0
76720.09,27180.88,24,558,0
71156.72,54474.74,24,711,0
61082.62,25879.61,24,522,0
96633.88,56388.63,60,502,0
112644.3,89817.74,36,778,0
102632.06,76686.73,36,845,0
104607.51,61897.59,72,760,1
45653.73,31340.05,72,650,1
56836.6,61260.6,72,729,0
45862.85,21647.68,36,337,1
94465.2,86147.05,48,734,1
119027.8,69263.47,24,642,1
55314.81,27179.74,36,559,0
73584.92,56142.64,72,608,0
54333.32,25777.67,24,576,0
66391.02,22997.76,36,604,1
66580.58,53599.04,24,712,0
26081.4,14054.94,72,586,0
83053.48,64785.03,60,835,1
32076.69,14874.45,24,546,0
107929.29,41518.54,24,510,0
35233.03,18129.04,36,411,0
95878.2,76428.58,60,781,1
117674.51,57703.42,84,690,0
39947.55,21088.46,48,562,0
74549.13,39275.43,36,458,1
69370.28,38012.16,60,546,0
75110.14,82168.16,72,750,1
86571.75,42653.99,72,572,1
58386.12,49469.2,48,727,0
96862.01,48810.39,24,594,0
109250.03,65948.01,48,821,1
78397.81,42232.78,84,503,0
72966.4,23643.43,84,408,1
29249.27,10256.41,48,530,1
63609.28,22477.36,36,597,0
111554.72,39960.34,36,639,0
107047.17,86844.67,24,633,0
34105.94,25568.56,24,610,0
73137.86,51830.45,48,645,0
33316.92,18770.04,24,462,0
94845.05,64187.83,48,693,0
73942.67,30073.36,36,459,0
108377.8,72718.26,24,795,0
78937.96,85496.53,24,702,1
90991.61,61453.02,24,822,0
92621.96,64520.93,36,778,0
106049.37,36048.74,36,637,0
44373.94,21725.69,84,429,1
71775.27,14826.29,60,598,1
71982.7,52235.17,84,718,1
97884.76,21639.91,84,508,1
115585.75,69417.88,36,746,0
69278.01,39772.78,48,454,0
35865.68,12491.7,36,352,0
51267.95,11069.9,24,427,0
89434.54,73981.99,36,817,0
105911.24,55503.15,24,621,0
47790.63,17200.27,48,568,0
114979.17,64209.41,36,545,0
32178.99,11411.47,48,405,0
26220.81,10618.64,84,509,0
88500.74,85234.0,36,822,0
116412.43,59726.62,60,632,1
115474.34,46153.3,60,681,1
54805.23,12024.21,48,480,1
65616.55,24577.0,24,677,0
48794.24,26970.97,36,498,0
47246.0,13959.77,36,309,1
29126.74,15648.44,24,345,0
84915.8,38297.79,84,539,0
29403.84,12311.74,24,582,0
57713.86,34146.35,24,642,0
54472.1,12702.89,24,431,0
28382.2,16899.53,36,338,0
75284.78,64437.8,36,654,0
25240.46,8336.5,48,303,0
79784.26,21633.43,48,648,1
76734.21,55323.5,60,689,0
73933.24,37001.43,60,403,0
97814.67,42813.96,36,673,1
46867.98,22556.94,60,593,0
48750.95,32296.69,24,610,0
38130.17,8208.38,24,345,0
73886.6,27433.26,36,551,0
48270.17,14959.86,24,440,1
34253.52,18641.95,48,486,1
49717.52,17423.03,36,323,0
86852.76,88535.1,60,799,1
26988.02,11760.43,36,547,0
108656.47,84819.91,24,669,0
119193.32,38241.09,48,552,0
109232.37,60185.41,24,508,0
37161.31,7673.56,48,346,0
104944.11,64114.19,84,645,1
43908.12,11418.42,36,563,0
74142.74,30260.05,36,642,0
68705.68,42657.76,60,603,0
112828.45,36821.47,24,566,0
43515.34,21843.15,48,356,0
51073.0,40910.05,84,647,0
42410.2,16887.81,24,552,0
101724.85,77439.89,24,686,0
117126.48,31401.44,24,515,0
49099.09,26827.43,36,467,0
56658.79,42524.74,84,613,1
87955.28,27064.83,24,624,0
35932.37,13404.71,24,438,0
96446.77,20358.92,24,579,0
43315.55,19443.43,36,345,0
28123.21,9240.07,24,348,0
88312.83,59173.22,36,805,0
55993.2,36079.35,60,723,0
62785.17,15527.87,24,551,0
26452.64,12872.31,24,357,0
99016.81,73953.82,60,633,1
28789.05,10799.82,24,377,0
61235.25,30242.82,60,447,1
65963.71,57790.12,60,620,0
67717.34,41992.08,60,603,0
50689.79,12587.56,36,419,0
92901.02,33358.05,60,553,0
115867.35,33888.75,24,614,0
106316.31,75778.68,72,652,1
119439.3,78815.62,24,726,0
113727.06,86266.16,84,787,1
65909.98,79474.14,72,702,1
108517.16,81878.09,24,711,0
100515.03,79258.72,60,812,1
103622.64,79254.9,36,780,0
93154.39,88403.16,24,802,0
88983.08,53862.21,36,797,0
91126.8,42289.51,60,590,1
106922.23,30542.85,48,553,0
117701.04,69496.28,60,794,0
109389.33,65438.38,36,826,0
73448.94,28654.96,48,446,1
84687.28,60196.17,36,715,0
25869.19,16168.04,36,551,0
59113.81,45422.03,36,653,0
51744.23,36515.1,24,607,0
34873.52,9496.04,60,435,0
82237.45,23275.63,48,504,0
87478.97,53482.17,48,562,1
49506.59,25920.05,36,402,0
34657.55,13055.49,24,407,0
57885.61,16406.05,48,431,1
103432.87,77635.68,36,839,1
26043.75,7096.84,84,325,1
71877.3,61380.93,72,616,0
43453.13,24149.05,24,456,0
67215.96,46046.38,24,607,0
29403.64,13697.84,72,335,0
66233.74,38455.38,60,542,1
51011.07,27821.43,36,601,0
73834.62,41882.17,24,573,0
118918.9,46951.57,24,509,0
105262.9,73565.7,72,689,1
87175.15,64494.28,24,716,0
104287.76,74692.16,24,829,0
110228.32,29222.66,48,648,0
94084.43,69334.23,36,636,0
45452.4,9913.17,72,555,1
78477.75,16730.68,48,546,0
37061.31,13509.95,48,385,1
54623.66,15941.6,24,485,0
73109.22,44197.71,24,643,0
105178.04,78543.17,24,845,0
82067.48,73079.38,36,790,0
63560.74,33379.8,24,619,0
115809.09,64103.52,84,638,1
84693.95,41242.07,60,511,1
36287.68,16958.33,48,457,0
93030.44,54949.3,36,540,0
27641.94,5708.77,36,318,0
46630.36,14664.34,24,473,0
48488.65,21926.17,36,365,0
64862.36,34055.69,84,634,0
91946.28,71571.37,24,827,0
116555.71,67821.79,24,805,0
78543.33,17345.19,24,489,1
49302.32,23998.49,36,426,0
112791.94,55691.01,48,677,1
49626.71,25088.79,24,371,0
118887.58,76881.85,24,842,0
107080.18,89732.78,24,725,0
102211.43,31609.76,48,533,0
38892.46,18080.09,60,544,0
74297.4,58867.28,24,674,0
46359.91,11360.08,48,518,0
99379.19,29828.68,84,532,1
52631.85,66775.26,24,723,0
60187.96,53826.69,48,657,1
118553.43,68388.45,24,805,0
37389.69,13698.22,36,300,0
77983.96,43520.32,36,432,0
57206.43,55933.44,36,733,1
81425.62,85636.27,72,753,1
115802.1,87378.72,36,701,1
26985.87,10770.97,48,379,0
69657.81,17007.2,60,594,0
96046.73,67213.84,24,845,0
53511.81,40201.29,24,737,0
47828.58,22298.37,60,569,1
95128.12,68798.43,48,692,1
49953.31,35461.41,60,603,1
115908.39,63303.25,24,742,0
25879.5,12388.34,24,495,0
92328.53,86087.0,60,798,0
100270.28,81393.04,36,806,0
116847.15,69516.5,48,789,0
94316.55,30199.67,84,565,1
103928.36,78754.45,24,746,0
85062.51,60183.9,24,801,0
48485.38,14610.55,72,608,0
55505.31,54275.16,24,668,0
83403.72,35532.19,60,592,1
113459.02,78533.8,24,755,0
57233.08,36745.67,48,655,0
82814.41,61502.01,36,767,0
106205.95,60647.59,36,781,0
114463.8,77299.79,24,736,0
45692.16,10156.66,24,535,0
56353.67,33212.28,72,412,1
48142.65,17527.78,36,406,1
92070.93,69413.33,36,744,0
34125.53,21673.94,24,636,0
114977.91,76713.56,24,755,0
37570.26,14913.73,36,370,0
100612.74,74581.75,72,627,0
70962.05,41384.15,36,715,0
89763.63,60666.95,24,808,0
102577.47,30568.64,24,587,0
38616.99,10352.77,84,593,1
36920.79,22211.18,24,558,0
72810.49,26869.25,60,418,1
30405.16,11187.78,36,487,0
37142.94,13403.76,36,343,0
90817.7,55708.49,36,797,0
79500.08,46886.82,36,439,0
90409.82,59976.84,60,649,0
54221.39,12231.1,24,583,0
95930.53,28943.21,24,556,0
63068.87,30828.53,60,436,1
76647.72,42964.02,36,429,0
43392.96,11586.16,24,363,0
53386.39,27239.48,36,533,0
105244.69,78630.19,24,787,0
80588.36,78133.91,48,837,1
96498.51,28777.76,24,507,0
41496.98,18475.55,24,384,0
97502.3,82711.8,60,668,1
91385.22,24623.51,24,514,0
75411.02,32206.86,24,403,0
53473.42,65656.68,24,716,0
33826.82,7672.32,36,368,0
111332.01,72838.71,72,745,1
81241.8,43805.16,48,744,1
89507.21,42758.72,84,549,1
86246.82,39245.51,24,516,0
46955.93,21611.72,24,480,0
44440.87,19847.47,24,360,0
30196.49,9096.33,24,322,0
106999.82,44057.98,24,615,0
66060.22,40807.47,36,703,0
92802.1,65273.88,24,817,0
115789.92,80319.35,36,776,0
91865.71,74712.01,36,703,0
58444.98,23155.92,72,519,1
98060.81,62995.36,36,825,0
62095.58,49788.32,36,698,0
105532.96,65750.37,72,741,1
119302.68,27028.5,36,536,0
89268.78,84848.16,84,833,0
66874.52,25228.49,48,437,0
57872.46,14826.45,72,402,0
112890.4,66089.4,84,844,1
28002.69,6592.85,24,588,0
37903.61,30544.08,24,629,1
93776.42,54127.96,60,644,1
107023.46,84681.87,84,654,1
104146.93,71080.86,24,621,0
47545.37,24220.58,36,420,0
45204.41,15597.83,36,519,0
58448.89,37280.03,24,646,0
73708.31,39411.71,72,737,1
76370.37,42100.22,36,670,0
102209.29,87773.31,84,665,0
52248.37,15070.58,60,509,0
75702.61,25376.85,24,541,0
72882.8,78606.76,36,726,0
69268.11,35803.84,36,580,0
88523.1,41861.86,24,663,0
38663.68,21894.59,24,304,0
54171.96,29983.18,36,558,0
95504.09,34778.25,36,530,0
100848.07,86174.68,60,768,0
84450.63,26796.61,36,567,0
25966.93,7412.78,60,561,0
49703.32,11414.36,24,375,0
76931.8,46977.87,60,518,1
84487.85,58226.48,60,618,1
83578.69,89028.25,24,708,0
51912.53,24618.1,36,595,0
39955.66,23302.94,36,409,0
71214.68,54758.74,24,617,1
117668.96,61580.93,36,723,1
95749.89,86546.6,24,751,0
59813.04,48270.45,24,718,0
107469.08,22759.37,24,500,0
69818.79,27469.62,36,506,0
45772.33,12301.71,60,587,1
110119.51,73269.18,84,672,1
56326.68,48245.54,60,661,1
81476.51,50791.29,60,666,1
69267.9,66364.24,84,748,1
60179.43,67636.91,24,742,0
51733.57,30691.54,24,432,1
65092.15,48949.88,24,721,0
84582.06,85256.2,36,785,0
94202.16,67496.77,84,784,1
83230.89,57015.42,84,661,0
52005.06,21099.47,60,532,0
39819.02,14907.75,36,642,0
34574.57,17872.05,36,614,0
31591.22,8304.45,36,317,0
46665.2,33636.0,24,601,0
26550.72,10458.7,36,308,0
29122.33,9100.64,24,379,0
50482.72,13495.81,24,451,0
52618.87,14454.86,24,549,0
52839.61,48582.62,24,680,0
43230.04,16909.59,36,431,0
103726.08,45931.64,48,579,0
58473.73,41770.22,36,671,0
81518.05,30878.9,24,502,1
108817.67,70334.05,36,713,0
40160.97,22844.0,48,482,1
50297.36,33173.87,24,641,0
74244.78,28192.68,36,673,0
68590.62,30098.86,36,670,1
32618.37,19491.8,72,386,1
109099.28,73692.91,36,837,0
57302.0,15715.94,36,415,0
50375.99,13776.29,24,478,0
65375.46,38277.61,48,549,1
29920.2,14630.18,24,482,0
82856.31,31315.45,36,650,0
97502.27,58496.52,24,766,0
46362.83,24063.33,72,483,0
25067.04,17320.42,72,640,0
75199.56,35160.38,36,438,1
29206.66,13913.09,24,493,0
52016.03,42594.75,48,748,1
63071.47,38501.65,36,450,0
39478.08,12199.11,24,598,0
116807.21,40480.02,72,500,1
30351.24,16506.69,84,609,1
56181.6,30654.16,84,584,1
71730.8,34291.36,36,594,0
76580.68,34551.92,36,655,0
69089.4,18466.21,24,425,1
50143.22,14489.99,72,516,1
39777.38,22471.87,72,408,1
54580.42,16630.73,48,542,1
57616.95,14955.68,48,432,0
77649.92,30677.1,24,541,0
58909.89,33742.6,24,446,0
65440.3,65303.37,48,698,0
56350.51,56914.15,24,652,0
95959.97,66161.54,24,754,0
101194.68,68039.86,36,777,0
63036.21,55031.97,48,699,1
109142.81,71137.22,36,628,0
98863.33,54314.41,60,660,0
25291.02,8879.75,84,554,0
106594.47,80863.29,60,775,1
97692.35,38341.86,36,530,0
75979.82,47955.3,24,465,0
69014.67,40742.93,24,746,0
45766.61,20258.36,24,414,0
107921.6,54111.15,24,725,0
29432.72,15916.04,36,389,0
82843.61,20606.98,84,594,1
80837.43,35469.22,72,561,1
71570.61,39255.12,24,516,0
71908.24,15932.99,24,448,0
98996.0,58333.32,24,785,0
28650.49,12044.05,24,327,0
107984.84,84513.25,48,803,0
67267.29,14560.83,24,492,1
114097.94,53438.86,36,620,0
109312.11,84197.93,24,637,0
109679.49,69780.05,60,735,1
106014.75,88664.27,84,667,0
115070.42,59256.42,72,741,0
90462.75,79161.71,72,845,1
106912.03,65255.49,36,513,0
89225.89,47891.82,84,674,0
67790.24,35401.7,36,458,0
92055.16,84237.32,24,784,0
64044.29,28959.73,84,547,1
39092.2,19662.87,24,525,0
64914.84,64183.08,36,730,0
47552.29,22373.14,36,580,1
108978.67,24807.13,24,594,0
26726.63,20245.75,36,618,0
89815.85,59208.11,24,732,0
83906.12,67837.05,24,772,0
113852.37,64831.71,36,761,0
44192.62,27423.94,60,569,1
82859.83,42081.75,48,587,0
54982.58,26138.18,24,593,0
80437.51,56964.48,60,787,1
60175.04,14434.88,24,550,0
86129.51,86820.28,24,824,0
97710.44,33848.64,84,550,0
42920.19,11236.62,24,598,0
114759.14,69808.3,72,725,0
110794.52,88548.02,84,704,0
62211.05,36491.77,36,656,0
71022.45,16562.92,48,559,1
114241.6,63814.93,24,513,0
40954.54,16456.74,84,581,0
76924.53,48928.42,24,749,0
33644.18,16808.56,36,622,0
26040.58,9054.81,24,573,0
35098.5,13591.83,36,407,0
41342.85,22283.95,24,523,1
100086.36,84051.62,24,628,0
87411.73,82395.69,60,744,1
111141.92,61793.72,24,617,0
95382.46,41245.69,60,697,0
71302.98,36188.45,24,449,0
31446.77,16341.26,36,639,1
27438.64,12288.43,24,548,0
119943.38,84889.51,24,794,0
28406.16,7096.76,72,599,0
66292.82,26946.27,24,457,0
52538.85,12792.36,60,439,0
29918.8,15136.3,84,567,1
45116.95,16643.64,60,463,1
98202.3,59606.5,84,714,1
86819.75,85073.46,24,736,0
27535.31,14250.79,60,483,1
119374.87,47237.2,24,652,0
65947.55,31818.84,36,577,0
74463.56,40768.64,24,509,0
105217.97,71323.86,48,716,1
94226.03,68294.34,24,754,0
100136.8,43746.44,24,550,0
42267.25,18245.49,24,416,0
37991.39,18522.12,48,378,0
44317.26,25389.49,24,379,0
74006.18,18859.75,36,401,1
102567.16,86014.38,84,663,0
48533.1,29925.03,24,622,0
61432.9,36165.86,72,452,1
56037.48,28780.84,36,529,0
26015.02,8068.26,24,331,0
84576.04,67903.33,36,677,0
43120.57,11835.13,36,423,0
92720.83,76916.74,48,655,1
58035.93,19073.19,60,529,1
109784.41,67614.41,24,548,0
72460.75,32282.95,24,711,0
109669.44,56712.74,48,526,1
118763.24,77822.43,24,731,0
115381.44,82785.84,36,628,0
50160.29,52053.84,24,701,0
26172.75,17994.35,24,608,0
97904.65,76651.61,24,806,0
65267.01,51866.58,24,643,0
35984.62,20288.97,24,480,0
34909.59,18368.3,36,537,0
75191.17,59750.04,36,636,0
109888.55,33104.61,36,531,0
60370.58,23903.86,24,697,0
105854.2,50184.56,36,557,0
81660.79,87590.65,72,813,0
95632.22,33267.97,84,505,1
118131.87,68089.33,24,748,0
26957.25,7298.59,84,350,0
78307.28,39333.0,36,645,1
78954.97,43282.19,60,512,1
77887.28,41178.9,36,537,0
41411.68,16366.99,24,397,0
48744.98,13273.18,48,408,1
101756.59,59429.89,24,651,0
30557.33,9920.68,84,317,1
105097.34,31517.71,24,556,0
71559.82,38628.6,24,412,0
119858.0,50567.54,48,561,0
67117.87,17686.19,72,516,0
71322.8,37535.84,72,645,0
91435.16,89867.45,84,707,1
47259.46,29361.65,36,588,0
116744.14,55397.98,36,667,0
37353.29,16205.33,84,495,1
65785.53,29721.85,24,561,0
113743.03,42602.25,24,564,0
63273.02,19723.43,24,587,0
30179.74,7160.3,48,459,1
56431.64,12696.3,24,535,0
84179.17,45593.1,48,825,0
101190.94,26581.27,24,555,0
82413.61,83939.58,24,656,1
40884.26,24872.13,48,523,1
44865.28,27189.82,60,547,0
42600.51,13187.16,48,482,1
103140.13,76788.45,24,736,0
92283.08,71438.82,36,643,0
28200.04,12181.98,72,443,1
68831.4,45221.85,84,607,0
112689.73,55147.13,24,587,0
43851.05,10598.58,36,583,0
71267.35,27543.31,36,412,0
86370.49,78100.25,36,845,0
59655.55,17534.17,60,649,0
108692.39,30623.41,84,544,0
47011.96,21883.47,72,550,0
87336.95,27533.04,24,517,0
31557.11,10713.59,36,517,0
27100.44,5933.19,36,492,0
52192.36,17894.48,24,441,0
61183.19,15351.25,24,422,0
39478.41,23613.66,60,363,1
100989.75,33487.87,24,581,0
89736.45,79774.56,48,850,1
67063.61,27991.13,24,591,0
31768.44,13477.87,36,637,0
59016.78,48182.59,84,726,0
42834.44,13042.8,24,517,0
61657.76,40339.47,60,631,1
92062.91,72055.35,36,673,0
103653.33,65395.32,24,680,0
36460.6,11411.34,36,410,0
95879.41,59616.19,72,836,0
107263.71,64623.23,60,827,1
76231.64,36303.88,48,570,1
103834.12,37739.98,24,518,0
80860.0,20748.92,60,513,1
119639.68,69036.38,24,760,0
68496.07,44255.91,24,748,0
73040.71,40794.71,60,696,1
41683.12,11110.81,60,397,1
